model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1167,16132,1,0.22487457,0.28579730
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1167,16133,2,0.35034987,0.39517865
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1168,16140,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1168,16141,1,0.18882936,0.25099641
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1168,16142,2,0.13241845,0.19535156
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1169,16150,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1169,16151,1,0.24206488,0.28667057
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1169,16152,2,0.23965104,0.29702124
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1170,16161,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1170,16162,1,0.14994280,0.21299376
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1170,16163,2,0.21277404,0.27285680
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1171,16171,0,0.00821545,0.02214284
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1171,16172,1,0.29042998,0.32831070
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1171,16173,2,0.22783467,0.28890258
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1172,16180,0,0.00075427,0.00514158
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1172,16181,1,0.21696982,0.26917475
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1172,16182,2,0.21649860,0.27809933
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1173,16189,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1173,16190,1,0.14067715,0.20277825
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1173,16191,2,0.16071676,0.22415924
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1174,16202,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1174,16203,1,0.08941504,0.15326542
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1174,16204,2,0.14803833,0.21063541
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1175,16215,0,0.00140039,0.00813948
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1175,16216,1,0.26539746,0.32809928
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1175,16217,2,0.27802664,0.33908808
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1176,16222,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1176,16223,1,0.33093062,0.38797334
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1176,16224,2,0.27847004,0.33146706
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1177,16231,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1177,16232,1,0.14724077,0.21102497
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1177,16233,2,0.10313487,0.16594188
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1178,16242,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1178,16243,1,0.13013349,0.18727227
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1178,16244,2,0.13123032,0.19457908
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1179,16255,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1179,16256,1,0.15329620,0.21621588
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1179,16257,2,0.00649926,0.02142459
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1180,16267,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1180,16268,1,0.16260429,0.22523375
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1180,16269,2,0.22453246,0.28733382
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1181,16276,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1181,16277,1,0.13526088,0.19841433
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1181,16278,2,0.18688028,0.24906865
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1182,16289,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1182,16290,1,0.16662005,0.22993518
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1182,16291,2,0.30798754,0.36741447
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1183,16298,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1183,16299,1,0.14643328,0.20888990
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1183,16300,2,0.17157249,0.23436594
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1184,16308,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1184,16309,1,0.22502440,0.28748065
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1184,16310,2,0.16840635,0.23172531
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1185,16321,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1185,16322,1,0.20626713,0.26804465
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1185,16323,2,0.12875322,0.19173606
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1186,16341,0,0.00039541,0.00613658
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1186,16342,1,0.24723251,0.31033903
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1186,16343,2,0.31556976,0.37692952
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1187,16349,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1187,16350,1,0.26420683,0.32335135
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1187,16351,2,0.26387346,0.32631284
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1188,16359,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1188,16360,1,0.13981001,0.20314106
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1188,16361,2,0.18251354,0.24256334
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1189,16370,0,0.00836146,0.03188954
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1189,16371,1,0.26328436,0.32402521
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1189,16372,2,0.27148393,0.33038518
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1190,16379,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1190,16380,1,0.16052060,0.22217630
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1190,16381,2,0.25993580,0.32080323
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1191,16390,0,0.00092115,0.00542000
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1191,16391,1,0.27645180,0.33441338
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1191,16392,2,0.22930707,0.28921285
